id,features
180,"[0.13208775222301483, -0.8031180500984192, 0.4647989869117737, -0.8205987811088562, 0.2426777333021164, 0.0003688924480229616, 0.5055019855499268, -0.31632480025291443, -0.33552563190460205, -0.0014552813954651356, 0.440775603055954, 0.4172975718975067, 0.10315660387277603, -0.260123610496521, -0.3651045262813568, 0.15674656629562378, 0.010448147542774677, -0.12082700431346893, 0.1843818873167038, 0.03900454565882683, -0.35021159052848816, 0.16852736473083496, 0.19466151297092438, -0.20286795496940613, 0.7488927841186523]"
190,"[-0.02664841152727604, -0.8339069485664368, 0.49500396847724915, -0.7075207233428955, -0.12764859199523926, -0.093669094145298, 0.6976442337036133, -0.18369369208812714, -0.10788413137197495, -0.03524891287088394, 0.6089101433753967, 0.3024926781654358, 0.1082455962896347, -0.09033761918544769, -0.1942664384841919, 0.1274341642856598, -0.2209356725215912, -0.2580145001411438, -0.31319180130958557, 0.15293000638484955, 0.10921566933393478, 0.5452597737312317, 0.11148498207330704, -0.49709782004356384, 0.7521286010742188]"
200,"[-0.1158938929438591, -0.3394342064857483, 0.5108088254928589, -0.6766475439071655, -0.09758532047271729, -0.05504674091935158, 0.5046342611312866, -0.439132422208786, -0.4807283282279968, 0.1489563286304474, 0.4081312119960785, 0.15105506777763367, 0.332843154668808, 0.16267459094524384, 0.08947593718767166, 0.7180539965629578, -0.028188556432724, 0.15178382396697998, -0.3050916790962219, -0.005314256530255079, 0.4227926433086395, 0.6377356648445129, 0.009684395045042038, -0.6604054570198059, 0.9837121963500977]"
210,"[0.47310271859169006, -0.49715352058410645, 1.0813013315200806, -0.49833229184150696, 0.4383494555950165, 0.2118312269449234, 0.4328223168849945, -0.29287517070770264, -0.20322991907596588, 0.1047467365860939, 0.48827189207077026, 0.054878994822502136, 0.08652789890766144, -0.30792397260665894, -0.21293579041957855, 0.4882080852985382, 0.1736276000738144, -0.12162832170724869, -0.3348727226257324, 0.3648730516433716, -0.14263714849948883, 0.7096089124679565, 0.26121142506599426, -0.36385107040405273, 0.8544677495956421]"
220,"[0.5088432431221008, -0.44532936811447144, 0.7179707884788513, -1.0098754167556763, 0.3520670533180237, 0.4407455325126648, 0.4345165193080902, -0.879780113697052, -0.3768520951271057, 0.24003297090530396, 0.352423757314682, 0.3832552433013916, 0.018788672983646393, -0.12819580733776093, -0.20953622460365295, -0.02589290961623192, -0.0006519210292026401, 0.04677775129675865, 0.047507189214229584, -0.22159141302108765, -0.17093662917613983, 0.4740763306617737, -0.023527368903160095, -0.4476920962333679, 0.6323614120483398]"
230,"[-0.0012292979517951608, -0.31431636214256287, 0.556721031665802, 0.04996533319354057, 0.2540241479873657, 0.29218751192092896, -0.22780577838420868, -0.28796982765197754, -0.4041357934474945, 0.4872575104236603, 0.8125644326210022, 0.006636695470660925, 0.37300777435302734, -0.12894681096076965, -0.06764485687017441, 1.0274395942687988, 0.36690255999565125, -0.5491260886192322, -0.21289466321468353, 0.030009109526872635, 0.419575035572052, 0.45370715856552124, 0.5431168675422668, -0.4947556257247925, 0.6284096240997314]"
240,"[-0.15641140937805176, -0.1819319874048233, 0.6653150916099548, -0.6682856678962708, 0.40562209486961365, 0.1971651166677475, 0.2255925089120865, -0.34309250116348267, -0.4183027446269989, -0.11053463816642761, 0.3081134259700775, -0.019381335005164146, -0.0507151260972023, 0.06758876889944077, 0.07165718823671341, 0.5257262587547302, -0.20307978987693787, 0.05972948670387268, -0.6532876491546631, -0.2591659724712372, 0.524041473865509, 0.4331760108470917, 0.7251542806625366, -0.8378044962882996, 1.2937994003295898]"
250,"[0.01269252598285675, -0.7897323369979858, 0.8608704209327698, -0.6981528997421265, 0.07503528147935867, 0.05451148748397827, 0.8204376101493835, -0.9953056573867798, -0.6274248361587524, -0.09950492531061172, 0.41071292757987976, 0.11207742244005203, 0.22764946520328522, 0.08044656366109848, 0.007209097500890493, 0.15508104860782623, -0.13321594893932343, 0.0792512521147728, -0.10814894735813141, -0.006891906727105379, 0.03730842471122742, 0.5611822605133057, 0.007831787690520287, -0.4417860209941864, 0.48132777214050293]"
260,"[-0.3024798035621643, -0.42827799916267395, 0.7186843156814575, -0.6909134984016418, -0.6281626224517822, 0.15556436777114868, 0.6851117610931396, -0.5118362307548523, -0.49556177854537964, -0.1462400108575821, 0.23907743394374847, 0.3759303689002991, 0.04651737958192825, 0.4222376048564911, -0.3114902675151825, -0.34365564584732056, -0.1960967779159546, -0.03224692493677139, 0.47054627537727356, 0.26834818720817566, -0.03371202573180199, 0.5862267017364502, 0.2352464199066162, -0.2555304169654846, 0.5988874435424805]"
270,"[0.08260191977024078, -0.8143928647041321, 0.5307407379150391, -0.6500621438026428, 0.5661912560462952, -0.02415825054049492, 0.5409268736839294, -0.5316647887229919, -0.727057695388794, -0.15847954154014587, 0.16215617954730988, 0.4258550703525543, 0.3543287217617035, -0.3330327868461609, -0.1964063197374344, -0.3432745933532715, -0.21459345519542694, 0.28569215536117554, -0.3108840882778168, 0.03284723684191704, -0.4768376350402832, 0.000557834398932755, 0.23497417569160461, -0.4430827498435974, 0.8288743495941162]"
280,"[-0.06154641509056091, -0.838280975818634, 0.6335330605506897, -0.32621458172798157, 0.19936126470565796, 0.1564072221517563, 0.53162682056427, -0.9525241851806641, -0.5559816956520081, 0.4632708430290222, 0.11629964411258698, 0.3399958312511444, 0.031957220286130905, -0.013285686261951923, -0.4826664328575134, 0.1944023221731186, -0.16629859805107117, -0.07460470497608185, -0.16487373411655426, 0.22318710386753082, 0.1437016874551773, 0.2879886329174042, 0.5160604119300842, -0.4655080735683441, 0.7555762529373169]"
290,"[0.12153565883636475, -0.7784750461578369, 0.5646693110466003, -0.9327927827835083, -0.0840391144156456, 0.34169724583625793, 0.656335175037384, -0.3818880617618561, -0.5445138216018677, -0.1356169879436493, 0.37247347831726074, 0.2338424026966095, 0.14932172000408173, 0.03085751086473465, -0.027203373610973358, -0.14579571783542633, -0.21746499836444855, 0.08031544834375381, -0.1850973665714264, 0.053501781076192856, -0.026098599657416344, 0.3420247733592987, -0.02301814779639244, -0.5353909730911255, 0.6726306080818176]"
300,"[0.20085537433624268, -1.042016863822937, 0.1389462649822235, -0.8949826955795288, 0.07011737674474716, 0.31363269686698914, 0.7720810174942017, -0.21961531043052673, -0.34259477257728577, -0.25691381096839905, 0.21525822579860687, 0.3206807076931, 0.3248908221721649, 0.18819287419319153, 0.10042156279087067, 0.24026255309581757, -0.06978194415569305, -0.2204396277666092, 0.12247341126203537, 0.0882415845990181, 0.21754984557628632, 0.4743848741054535, -0.06875476986169815, -0.4772127866744995, 0.5647100806236267]"
310,"[0.169656902551651, -0.6204036474227905, 0.43285122513771057, -1.2613202333450317, 0.09777121990919113, 0.4380494952201843, 0.27851545810699463, -0.7846531867980957, -0.04296515882015228, -0.7210667133331299, 0.7326181530952454, -0.032862454652786255, -0.5459567308425903, 0.15159855782985687, 0.1594233363866806, 0.179993137717247, -0.20089711248874664, -0.03477845713496208, -0.210516557097435, 0.235086128115654, -0.020902302116155624, 0.48905253410339355, -0.47478926181793213, -0.514286994934082, 0.15485897660255432]"
320,"[0.17034779489040375, -0.10952145606279373, 0.34912267327308655, -0.7225177884101868, 0.45262226462364197, 0.1386723667383194, 0.2995694577693939, -0.6794714331626892, -0.5237339735031128, 0.385035902261734, 0.46796855330467224, 0.36439821124076843, -0.040337976068258286, 0.13780631124973297, 0.039071664214134216, 0.2710753083229065, -0.08256229013204575, -0.46389734745025635, -0.034254930913448334, 0.304341197013855, 0.20696015655994415, 0.49642303586006165, 0.04491622745990753, -0.4325954020023346, 0.8010419607162476]"
330,"[0.11991453170776367, -0.8177618980407715, 0.42216965556144714, -0.5299156904220581, 0.32918819785118103, 0.18438775837421417, 0.574233889579773, -0.6707828640937805, -0.7108057737350464, 0.2585887312889099, 0.6274622082710266, 0.10788191854953766, 0.3425790071487427, 0.515008807182312, -0.16525661945343018, 0.1744544953107834, -0.049382977187633514, -0.4349181652069092, 0.0073690470308065414, 0.18265411257743835, -0.03707064688205719, 0.21170967817306519, -0.17533046007156372, -0.0413081981241703, 0.6922821402549744]"
340,"[0.15588897466659546, -0.608268141746521, 1.0058190822601318, -0.6494895219802856, 0.3022834062576294, 0.4290385842323303, 0.21441730856895447, -0.5890985131263733, -0.12089335918426514, -0.0403231605887413, 0.28510960936546326, 0.2786009907722473, -0.20069482922554016, 0.3125678300857544, -0.20292742550373077, 0.45444390177726746, 0.06336648762226105, -0.25146323442459106, 0.0033766424749046564, -0.043027687817811966, 0.02078731171786785, 0.4467591643333435, 0.28157705068588257, -0.6286302804946899, 1.0631322860717773]"
350,"[0.044518470764160156, -0.3329426348209381, 0.5637698769569397, -0.7777398824691772, -0.0021782829426229, 0.19846302270889282, 0.1912347823381424, -0.31911250948905945, -0.23989689350128174, 0.296246737241745, 0.2654542922973633, 0.2050275355577469, -0.08486958593130112, 0.15453015267848969, 0.004260101355612278, 0.247906893491745, 0.28762131929397583, 0.052510619163513184, 0.0011319683399051428, -0.16525252163410187, 0.1876479685306549, 0.5592125058174133, 0.3442687690258026, -0.5223298072814941, 0.9263899922370911]"
360,"[0.11202394962310791, -0.4994620680809021, 1.0069433450698853, -0.3534378111362457, 0.5166225433349609, 0.5050578713417053, 0.8630806803703308, 0.011972278356552124, -0.2760390043258667, 0.2994828522205353, 0.44918033480644226, 0.04819953441619873, -0.3355298936367035, -0.48903241753578186, -0.5851584076881409, 0.17951519787311554, 0.023916225880384445, 0.35260218381881714, 0.5398750901222229, 1.0225131511688232, 0.1386549174785614, 0.27209043502807617, -0.4174598753452301, -0.6855115294456482, 0.7328069806098938]"
370,"[-0.2625149190425873, -0.6007087826728821, 0.5527256727218628, -0.6703999042510986, 0.011427435092628002, -0.15554237365722656, 0.4063343107700348, -0.24980536103248596, -0.2858502268791199, 0.04806159809231758, 0.08470004796981812, 0.4541485905647278, 0.22796083986759186, 0.36895331740379333, -0.555114209651947, 0.23241886496543884, -0.07991566509008408, 0.1924760937690735, 0.19167833030223846, -0.027095459401607513, 0.2954421639442444, 0.42323118448257446, -0.03967547044157982, -0.6240509152412415, 0.6566829085350037]"
380,"[0.0754147320985794, -0.6331826448440552, 0.5944880247116089, -0.8420577049255371, 0.07117090374231339, 0.44937920570373535, 0.22067879140377045, -0.23924565315246582, -0.4609992802143097, -0.31043541431427, 0.7058150172233582, 0.32644614577293396, -0.18812039494514465, 0.3702123761177063, -0.13337211310863495, 0.19271983206272125, 0.22484637796878815, 0.08254958689212799, -0.1288396567106247, -0.31885311007499695, 0.3900875449180603, 0.5226372480392456, 0.36523932218551636, -0.43243715167045593, 0.9347130656242371]"
390,"[-0.16661620140075684, -0.6458488702774048, 0.5221740007400513, -0.5863121747970581, 0.2719748914241791, -0.2480233907699585, 0.03953376039862633, -0.6395741105079651, -0.44440826773643494, 0.1963050663471222, 0.6505864858627319, 0.40863552689552307, 0.1454567164182663, 0.014056290499866009, 0.03287570923566818, 0.47601667046546936, 0.2472560703754425, -0.4440062940120697, 0.24951985478401184, 0.07506821304559708, 0.4488721191883087, -0.21205264329910278, -0.37611743807792664, -0.9590993523597717, 0.7109384536743164]"
400,"[-0.09986298531293869, -0.8029143214225769, 0.6998317241668701, -0.6968066692352295, -0.02835422195494175, 0.1809815615415573, 0.6211088299751282, -0.5539539456367493, -0.535335898399353, -0.18047140538692474, 0.40426740050315857, 0.14662520587444305, 0.24826106429100037, -0.006229392718523741, -0.270466148853302, 0.30663323402404785, -0.006660898216068745, -0.05305267870426178, 0.2553248703479767, -0.0726534053683281, 0.20688220858573914, 0.342729389667511, 0.022271592170000076, -0.45573166012763977, 0.6946836709976196]"
410,"[-0.212988018989563, -0.416056364774704, 0.3832457959651947, -0.6576809883117676, 0.14121371507644653, 0.296052485704422, 0.8393473625183105, -0.23178093135356903, -1.0974311828613281, 0.06286453455686569, 0.2892317771911621, 0.0017045681597664952, 0.012553797103464603, -0.15338440239429474, 0.2558686137199402, 0.12565001845359802, -0.07857021689414978, -0.10489825159311295, -0.3281119763851166, -0.053935255855321884, -0.1942485123872757, 0.5364819765090942, -0.08430849760770798, -0.7387216687202454, 0.6825335025787354]"
420,"[0.123726025223732, -0.4610086679458618, 0.4532510042190552, -0.6990565061569214, 0.187130406498909, 0.19565312564373016, 0.6486874222755432, -0.3123084604740143, -0.5035169720649719, 0.21461787819862366, 0.46975934505462646, 0.3369404673576355, 0.13788653910160065, 0.17102321982383728, -0.30018964409828186, 0.1865028589963913, -0.013117537833750248, 0.010842310264706612, -0.055552706122398376, 0.08308344334363937, 0.1687571406364441, 0.21181365847587585, -0.0021745481062680483, -0.6450747847557068, 0.8414588570594788]"
430,"[0.29846224188804626, -0.7408124804496765, 0.5012553334236145, -0.6576386094093323, 0.6857892274856567, 0.18447531759738922, 0.9277597665786743, -0.20036958158016205, -0.21558858454227448, -0.41923344135284424, 0.4620862305164337, 0.6523038148880005, 0.26654472947120667, -0.008724764920771122, -0.5442085862159729, 0.3568192422389984, 0.10787564516067505, -0.15182626247406006, 0.045796949416399, 0.0081245806068182, 0.14866775274276733, 0.17269474267959595, -0.42570367455482483, -0.64219069480896, 0.5193971395492554]"
440,"[0.08483293652534485, -0.5363338589668274, 0.6774342060089111, -0.5665510296821594, 0.08373181521892548, 0.21818619966506958, 0.4112701714038849, -0.6903463006019592, -0.5974317789077759, -0.4493423402309418, 0.5601173639297485, -0.012417652644217014, -0.11873716115951538, 0.2947547435760498, -0.04029201343655586, 0.41300415992736816, -0.10338598489761353, 0.04109477251768112, 0.18585218489170074, 0.1603645533323288, 0.07568401843309402, 0.16144216060638428, -0.07000720500946045, -0.6995261311531067, 0.6895490288734436]"
450,"[-0.053688645362854004, -0.5734639167785645, 0.9101353883743286, -0.6746586561203003, -0.116435207426548, 0.24977032840251923, 0.5068531632423401, -0.22612421214580536, -0.5811848640441895, 0.22852244973182678, 0.6143600940704346, 0.09802578389644623, -0.020132966339588165, 0.0715181827545166, -0.3573729693889618, 0.27837103605270386, -0.037560127675533295, -0.11837580800056458, 0.12196803092956543, -0.2352500706911087, 0.1908320039510727, 0.5793595314025879, -0.07355598360300064, -0.6510646939277649, 0.6272740960121155]"
460,"[0.009682240895926952, -0.6321284770965576, 0.6923441886901855, -0.666692316532135, 0.2693539261817932, 0.11087352782487869, 0.2906443774700165, -0.6295938491821289, -0.45316213369369507, 0.07147546112537384, 0.7216590046882629, 0.39333513379096985, 0.18296858668327332, 0.036404192447662354, -0.3717198371887207, 0.30796322226524353, -0.015627238899469376, -0.1118912547826767, -0.14531485736370087, 0.041886501014232635, 0.004250561352819204, 0.5274191498756409, 0.048886653035879135, -0.5623276233673096, 0.6701325178146362]"
470,"[0.03868483752012253, -0.43566712737083435, 0.8259900212287903, -0.5682958960533142, -0.025311050936579704, -0.004643875639885664, 0.3857366740703583, -0.5565725564956665, -0.3191639184951782, 0.17899958789348602, 0.15403687953948975, 0.2308787703514099, -0.2596490681171417, 0.1302623599767685, -0.045415159314870834, 0.17482633888721466, 0.1798090934753418, 0.15086579322814941, -0.09160461276769638, -0.002524198265746236, -0.08947648853063583, 0.48979899287223816, 0.22333963215351105, -0.846123218536377, 0.64842689037323]"
480,"[-0.07427685707807541, -0.5846396684646606, 0.7360900640487671, -0.7052965760231018, 0.11451604962348938, 0.2539086937904358, 0.8385888934135437, -0.5763242840766907, -0.1805293709039688, -0.033153727650642395, 0.048348259180784225, 0.45952367782592773, 0.4422928988933563, 0.06414934247732162, -0.1637357920408249, 0.3408931791782379, -0.09112539887428284, -0.385751873254776, -0.08848214149475098, 0.0009627182735130191, -0.29508256912231445, 0.3972913920879364, -0.10897727310657501, -0.6328186988830566, 0.19297288358211517]"
490,"[-0.026423048228025436, -0.7001902461051941, 0.3026333749294281, -0.6495643854141235, 0.04581435024738312, 0.19071796536445618, 0.5152976512908936, -0.31733426451683044, -0.5938501358032227, -0.3020973801612854, 0.3619486689567566, 0.2217881679534912, 0.450225293636322, 0.08793722838163376, -0.17718598246574402, 0.16608038544654846, -0.0517471507191658, -0.33624398708343506, 0.2737793028354645, -0.042539555579423904, 0.13051491975784302, 0.22545674443244934, 0.1416958123445511, -0.4043871760368347, 0.39333778619766235]"
500,"[0.41634923219680786, -0.818708598613739, 0.5838201642036438, -0.4721350073814392, -0.6466924548149109, 0.573620617389679, 0.5878036618232727, -0.7878720760345459, -0.2676818370819092, 0.426444947719574, -0.39181506633758545, 0.006186775863170624, -0.395736426115036, -0.17470721900463104, -0.3480882942676544, 0.23892836272716522, 0.15725532174110413, -0.5762758255004883, 0.6542474627494812, -0.2592172920703888, 0.20387621223926544, 0.4568873643875122, 0.22881761193275452, 0.09028325229883194, 0.7398301959037781]"
510,"[-0.0027986974455416203, -0.38562196493148804, 0.34011244773864746, -0.9119757413864136, 0.2515123784542084, 0.44415128231048584, 0.9242583513259888, -0.22054846584796906, -0.2578115165233612, -0.3563016951084137, -0.3258150815963745, 0.13735337555408478, -0.30730852484703064, -0.1636696755886078, 0.159456267952919, 0.45933765172958374, -0.3299829661846161, -0.318369597196579, 0.08146022260189056, 0.22057978808879852, -0.1739904284477234, 0.4231413006782532, -0.11450743675231934, -0.3723413646221161, 0.42161211371421814]"
520,"[0.16616258025169373, -0.48705601692199707, 0.5505935549736023, -0.4001399576663971, 0.06674312800168991, 0.18790175020694733, 0.2767781615257263, -0.6068080067634583, -0.46517103910446167, -0.01226232573390007, 0.32785412669181824, 0.5028234124183655, 0.35269638895988464, 0.2534659802913666, 0.0255610179156065, -0.12381228059530258, -0.039693284779787064, -0.08793076127767563, 0.0659525990486145, 0.03615408390760422, 0.22473321855068207, 0.8302590847015381, 0.10194272547960281, -0.8906962275505066, 0.9938514828681946]"
530,"[0.2080971896648407, -0.7372257113456726, 0.8339751958847046, -0.5138882398605347, -0.20024771988391876, 0.2936375141143799, 0.7118114233016968, -0.4394060969352722, -0.6082074046134949, 0.49723055958747864, 0.5640738010406494, 0.23988939821720123, 0.09197663515806198, 0.15596099197864532, -0.5332460403442383, 0.08981045335531235, -0.10791245102882385, 0.36870425939559937, 0.0006715031922794878, 0.0783156231045723, -0.19862203299999237, 0.13032196462154388, -0.07350726425647736, -0.48260247707366943, 0.4161794185638428]"
540,"[0.11522296816110611, -0.6533847451210022, 0.791897177696228, -0.8865881562232971, -0.0768127515912056, 0.27712830901145935, 0.7712731957435608, -0.42576518654823303, -0.2059038281440735, 0.15612173080444336, 0.5307573080062866, 0.24261386692523956, 0.058700550347566605, -0.061895690858364105, -0.11377019435167313, 0.47590094804763794, 0.05396273359656334, -0.07123831659555435, 0.15688838064670563, -0.015315520577132702, 0.05934806540608406, 0.47772103548049927, 0.27246320247650146, -0.4778715968132019, 0.49388960003852844]"
